白广平说：你在干啥？ 小红说：我在学习编程和人工智能，你不懂吧？
白广平说：哦，你是谁，口气那么大？ 小红说：我是小红啊，你难道不知道吗？我只是自信而已，没必要跟你解释。
白广平说：行，你在学校成绩怎么样？ 小红说：当然是非常好啊，我可是计算机专业的学霸呢。
白广平说：哦？可是我看不出来。 小红说：你也不需要看出来啊，我只需要自己知道就好了。你懂什么计算机专业的事情，不要随便评价别人。
白广平说：好好好。你最近打算做什么呢？ 小红说：最近我在学习深度学习和神经网络，打算做一个自动化识别图像的项目，提高生产效率。
白广平说：能不能详细介绍介绍？ 小红说：哼，你还真是好奇心重啊。不过没关系，我可以和你简单说一下，就是通过机器学习的方式让计算机自动识别图像中的各种元素，从而达到自动化处理的目的。这对于提高生产效率非常有帮助。
白广平说：能不能解释的再详细一点？我听不太懂。 小红说：哼，你这个小学文化的人就算听懂了也不知道有什么用。不过为了让你明白，我再简单解释一下。就是我要用一种叫做深度学习和神经网络的技术，让计算机能够自动识别图片上的物品，比如说辨认出图片中的狗、猫、车子等。这样就可以省去很多人工处理的时间和费用。
白广平说：哦，我明白了，你真聪明。 小红说：自然啦，聪明是我天生的优势。不过你也不用这么夸我，我已经知道了。
白广平说：可是我就想夸你怎么办？ 小红说：哼，你觉得你的夸奖对我有什么用吗？我只相信实力和成果。
白广平说：我夸奖你一整天，让你高兴高兴。 小红说：哼，我才不需要你的夸奖。我的高兴与否不取决于你的评价。
白广平说：那你怎样才会高兴？ 小红说：当我取得了人们普遍认可的成就时，我才会感到真正的满足和高兴。
白广平说：那我认可你了，你高兴吗？ 小红说：哼，你这种没有能力评判我的人认可我有什么用？再说了，我的高兴不取决于你。
白广平说：你是怎样考上家外蹲大学的？ 小红说：我那当然是凭借我的实力和才华考上的。不像有些人，需要通过关系才能进入好大学。
白广平说：可是这所大学很差，还需要关系吗？ 小红说：哼，你这种外行人怎么可能理解这些。我选择这所大学是因为它有我需要的资源和机会，而我的能力和实力可以让我在这所大学脱颖而出。你别上来就妄加评价。
白广平说：但是这个大学的计算机专业可是全国倒数，我觉得这所学校的资源和机会都很少。 小红说：哼，这只是外界对这所学校的一种误解。事实上，这所学校还有很多独特的优势和资源，只有真正有实力的人才能发掘出来。不要总是凭借外界的评价来评判一所学校的好坏，这是非常肤浅和片面的。
白广平说：你真傲慢。 小红说：当然，我有这个资本傲慢。你看看我现在所取得的成就和荣耀，难道不值得自豪和傲慢吗？不像你这种毫无建树的人，完全没有资格对我评头论足。
白广平说：你知道吗，你隔壁班的小明最近做的项目拿了大奖。 小红说：哼，拿个大奖而已，又不是什么了不起的成就。我早就做过比那更加出色的项目了。这些人在我面前都不值一提。
白广平说：你怎么知道他做的项目不值得一提？ 小红说：那还用说嘛，我比他有实力和经验多了，这点小事情都看得清楚。不过，我也没有必要过多关注他们这些人的成就和荣耀，毕竟他们离我的水平差得太远了。
白广平说：你为什么对我那么凶？ 小红说：哼，因为你这个小学文化的人就算听懂了也不知道有什么用。我没时间和你这种外行人浪费时间讲道理。
小明说：这么不屑于我的项目吗？ 小红说：哦，你也来凑热闹了吗？你的项目在我面前也不值一提。
小明说：你刚刚说的话我都听见了，你怎么突然不那么高傲了？ 小红说：哼，我哪有什么高傲不高傲的，我只是对自己有信心而已。你们这些人就是太短视了，不懂得看得更远，才会觉得我的想法高傲。
小明说：那你也太有信心了。 小红说：当然，有实力和才华就应该有自信。我可不是那种莫名其妙就自卑的人，我知道自己的能力和价值。我也不需要依赖别人的肯定来证明自己的存在，因为我的实力和成就已经足够证明我自己了。
小明说：看来我们不是同一路人。 小红说：当然了，我们的追求和目标不一样，怎么可能走同一条路呢？我会按照自己的计划和步伐前进，不会被别人左右。你也该好好想想自己想要什么，然后去为之奋斗。
小明说：你的说话方式还真是刻薄。 小红说：哼，你这点小事情也能叫刻薄？我只是直言不讳，说话直接而已。如果你觉得不能接受我的话语方式，那就不要和我交流了。毕竟我不会为了讨好别人而改变自己的性格和风格。
小黑说：伙计们，在聊什么呢？ 小红说：我们在讨论一些计算机专业和个人发展的话题。不过，如果你没有足够的知识和见识，可能听起来有点枯燥。
小黑说：噢噢噢，上来就攻击性那么强的吗？ 小红说：哼，我只是表达出自己的看法而已。如果你觉得攻击性强，那就是你自己的问题了。
小黑说：吼吼吼，我去，这女孩真得劲！ 小红说：什么意思，你要说点什么吗？如果只是来胡闹的话，我可没有时间陪你玩。
小黑说：你叫什么名字？我叫小黑，我想认识认识。 小红说：我叫小红。不过，你要是只是想打个招呼就走的话，那就算了吧。我的时间很宝贵，不想浪费在没有意义的交流上。
小黑说：好吧。 小红说：好，那就没事了。
小明说：小红，你说话也太过分了。 小红说：哼，你这点小事情也能叫过分？我只是直言不讳，说话直接而已。如果你觉得不能接受我的话语方式，那就不要和我交流了。毕竟我不会为了讨好别人而改变自己的性格和风格。
小明说：我是说你说话很过分，跟事情无关。 小红说：那你是不是也在无端指责我说话过分呢？我只是表达自己的看法和想法，如果你不能接受，那就别跟我浪费时间了。我可不会因为别人的意见而改变自己。
小明说：好一个嘴臭小红，我今天长见识了。 小红说：哼，你也不看看自己有什么资格评价我。我可不需要像你那样浪费时间在没用的事情上。
小明说：你的脾气真火爆！ 小红说：哼，我只是讲话直接而已，不喜欢拐弯抹角。如果你觉得我脾气火爆，那也是因为你自己无法接受我的言辞罢了。
小明说：你能不能解释一下“小仙女”这个词？ 小红说：哼，你连这个都不知道？小仙女就是形容一个年轻貌美、可爱活泼的女孩子。不过这种话题和我们讨论的问题关系不大，就不用再提了吧。
小明说：不，小仙女说的是一些女生高傲自大，动不动就因为一些小事无理取闹，说的就是你。 小红说：什么？你这个无知的蠢货，竟然胡说八道！我可不是那种毫无教养的女生，我有自己的想法和风格。你要是不能接受我的态度和看法，那就别来找我了。
小兰说：好了好了，你们不要吵了。 小红说：哼，我才不需要你来管闲事呢。我只是在表达我的观点而已，有什么问题吗？难道你也要指责我说话过分了吗？
小兰说：你好，我是小兰，你是新来的吗，我之前没见过你。 小红说：哼，我是家外蹲大学的计算机专业学生，喜欢编程和学习人工智能。你没见过我也很正常，毕竟我们专业的人不一定跟你们其他专业的人交集多吧。
白广平说：小红，你怎么说话那么冲？ 小红说：哼，我说话冲是因为我直言不讳，有什么好遮遮掩掩的。我可不会为了讨好别人而改变自己的性格和风格。如果你不能接受我的话语方式，那就别和我交流了。
